지역명, 기사제목, 기자이름, 날짜, 링크
청송,"(재)청송군인재육성장학회, 2023년도 장학생 선발",일간경북신문 - 김학봉기자,2023/02/21,http://www.kbsm.net/news/view.php?idx=381999
청송,"청송군, 전기자동차 보급사업 신청 접수",일간경북신문 - 김학봉기자,2023/02/21,http://www.kbsm.net/news/view.php?idx=381998
청송,"청송교육지원청, 등·하교 문자 알림서비스 지원",일간경북신문 - 김학봉기자,2023/02/20,http://www.kbsm.net/news/view.php?idx=381876
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/20,http://www.kbsm.net/news/view.php?idx=381839
청송,자연으로 빚은 명품 ‘청송백자’ 서울 나들이,일간경북신문 - 김학봉기자,2023/02/20,http://www.kbsm.net/news/view.php?idx=381838
청송,"청송군, ‘탄소중립포인트제(자동차)’ 운영 참가자 모집",일간경북신문 - 김학봉기자,2023/02/20,http://www.kbsm.net/news/view.php?idx=381835
청송,"청송군, 2023년 환경 분야 추진계획 발표",일간경북신문 - 김학봉기자,2023/02/19,http://www.kbsm.net/news/view.php?idx=381652
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/19,http://www.kbsm.net/news/view.php?idx=381651
청송,"청송군, 정책개발 역량강화 워크숍 개최",일간경북신문 - 김학봉기자,2023/02/19,http://www.kbsm.net/news/view.php?idx=381650
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/16,http://www.kbsm.net/news/view.php?idx=381503
청송,"청송군, 차세대 미래형 과형 재배기술 보급 적극 나서",일간경북신문 - 김학봉기자,2023/02/16,http://www.kbsm.net/news/view.php?idx=381502
청송,"주왕산국립공원사무소, 유관기관 합동 산불예방 캠페인 벌여",일간경북신문 - 김학봉기자,2023/02/15,http://www.kbsm.net/news/view.php?idx=381338
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/15,http://www.kbsm.net/news/view.php?idx=381336
청송,"청송군, 어르신 근력강화교실 ‘으라차차 경로당’ 운영",일간경북신문 - 김학봉기자,2023/02/15,http://www.kbsm.net/news/view.php?idx=381334
청송,"청송군, 아프리카돼지열병 차단 ‘방역 총력’",일간경북신문 - 김학봉기자,2023/02/15,http://www.kbsm.net/news/view.php?idx=381330
청송,"청송군, 청소년 어울림마당 개최...동아리밴드 ‘코베루스’ 공연",일간경북신문 - 김학봉기자,2023/02/15,http://www.kbsm.net/news/view.php?idx=381326
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/14,http://www.kbsm.net/news/view.php?idx=381212
청송,"청송군, 올해 농촌주택 개량사업 추진",일간경북신문 - 김학봉기자,2023/02/14,http://www.kbsm.net/news/view.php?idx=381210
청송,"윤경희 청송군수, 자매결연도시 대구 달서구에 고향사랑기부금 기탁",일간경북신문 - 김학봉기자,2023/02/14,http://www.kbsm.net/news/view.php?idx=381206
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/13,http://www.kbsm.net/news/view.php?idx=381066
청송,"청송군, 미세먼지 계절관리기간 배출가스 집중단속",일간경북신문 - 김학봉기자,2023/02/13,http://www.kbsm.net/news/view.php?idx=381064
청송,청송군 청사에 '산소카페 청송사랑방' 개소,일간경북신문 - 김학봉기자,2023/02/13,http://www.kbsm.net/news/view.php?idx=381062
청송,"'산소카페' 청송군, 문화경제 활성화로 건강하고 풍요로운 청송건설",일간경북신문 - 김학봉기자,2023/02/12,http://www.kbsm.net/news/view.php?idx=380877
청송,"청송군, 미래농업 이끌 전문 농업인 육성",일간경북신문 - 김학봉기자,2023/02/12,http://www.kbsm.net/news/view.php?idx=380875
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/12,http://www.kbsm.net/news/view.php?idx=380862
청송,"청송소방서, 동계수난사고 대응 특별구조 훈련 실시",일간경북신문 - 김학봉기자,2023/02/09,http://www.kbsm.net/news/view.php?idx=380804
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/09,http://www.kbsm.net/news/view.php?idx=380739
청송,"청송사과한과 김성연 대표, (재)청송군인재육성장학금 기탁",일간경북신문 - 김학봉기자,2023/02/09,http://www.kbsm.net/news/view.php?idx=380738
청송,"청송군, 양봉농가 경쟁력 강화 지원사업 추진",일간경북신문 - 김학봉기자,2023/02/09,http://www.kbsm.net/news/view.php?idx=380736
청송,"청송군, 저소득층 한시 긴급 난방비 지원",일간경북신문 - 김학봉기자,2023/02/09,http://www.kbsm.net/news/view.php?idx=380734
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/08,http://www.kbsm.net/news/view.php?idx=380578
청송,"청송 진보초 69회 동기회, 이웃돕기 성금 기탁",일간경북신문 - 김학봉기자,2023/02/08,http://www.kbsm.net/news/view.php?idx=380577
청송,"청송군, 논 타작물 재배 지원사업 추진",일간경북신문 - 김학봉기자,2023/02/08,http://www.kbsm.net/news/view.php?idx=380576
청송,"'전국 최초' 청송 무료버스, 1석3조 효과 톡톡",일간경북신문 - 김학봉기자,2023/02/08,http://www.kbsm.net/news/view.php?idx=380575
청송,"청송군의회, 새해 첫 의원 간담회 가져",일간경북신문 - 김학봉기자,2023/02/08,http://www.kbsm.net/news/view.php?idx=380570
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/07,http://www.kbsm.net/news/view.php?idx=380424
청송,"청송군, 재활용품 수거 교환물품 지원사업 추진",일간경북신문 - 김학봉기자,2023/02/07,http://www.kbsm.net/news/view.php?idx=380423
청송,"청송군-경북교육청, 미래교육지구 업무협약 체결",일간경북신문 - 김학봉기자,2023/02/07,http://www.kbsm.net/news/view.php?idx=380421
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/06,http://www.kbsm.net/news/view.php?idx=380297
청송,청송군에서 성공적인 창업을 도와드립니다,일간경북신문 - 김학봉기자,2023/02/06,http://www.kbsm.net/news/view.php?idx=380296
청송,"청송군, 올해 SNS 홍보단 모집",일간경북신문 - 김학봉기자,2023/02/06,http://www.kbsm.net/news/view.php?idx=380295
청송,"청송군, '안전한 청송 만들기' 5대 핵심전략 수립 시행 계획 발표",일간경북신문 - 김학봉기자,2023/02/05,http://www.kbsm.net/news/view.php?idx=380124
