지역명, 기사제목, 기자이름, 날짜, 링크
대구,"대구시선관위, 공정선거지원단 공개 모집",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392857
대구,"영남대병원 손욱진·김기범 교수팀, 운동계 줄기세포 재생 의학회 우수 구연상 수상",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392847
대구,"대구경북병무청, 경일대학교 찾아가는 병역진로설계 실시",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392846
대구,"aT, 상하이 SIAL 국제식품박람회서 7400만 달러 상담 성과",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392845
대구,"전국금융산업노조 대구은행지부, 대구 멘토리야구단 후원금 2천만원 전달",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392844
대구,"한국장학재단, 전남지역 청년지원 활성화 대학생 의견수렴 간담회",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392843
대구,"대구제일고 RCY단원, 청소년 창의적 체험활동 ‘사랑의 빵나눔’ 활동",일간경북신문 - 김범수기자,5호,http://www.kbsm.net/news/view.php?idx=392842
대구,"김승수 의원, 음주운전 사망사고 살인죄 적용 '일부개정법률안' 대표발의",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392828
대구,"지역난방공사 대구지사, 대구 달서구에 후원금 전달",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392822
대구,"도로공사·부산박물관, 경부고속도로 역사 홍보 '맞손'",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392821
대구,"대구 북구, 재난관리평가 ‘우수기관’ 선정",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392820
대구,'싱그러운 초록잎과 함께'···대구 명품 가로수길 10곳 소개,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392819
대구,"대구시, 전국 최초 공공기관 연계 지역제품공공구매 플랫폼 본격 운영",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392817
대구,[동정] 강은희 대구교육감,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392816
대구,[동정] 조재구 대구남구청장,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392814
대구,[동정] 이태훈 대구달서구청장,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392813
대구,[동정] 윤석준 대구동구청장,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392812
대구,대구 스타트업 포럼 개최···창업기업 글로벌 진출 방향 제시,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392811
대구,"대구 남구, 대한안마사협회 지역 어르신 '무료 안마'",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=392810
대구,"대구시, 블록체인 기술혁신지원센터 유치 확정",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392806
대구,"대구고용노동청·안전보건공단, 위험성평가 특화점검·캠페인",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392802
대구,"한국환경공단, 경산 하수처리시설 증설사업 완료",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392799
대구,"대구 수성구, 망월지 두꺼비 캐릭터 그리기 공모전 시상",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=392797
대구,"대구 서구, 시원한 여름나기 물품 전달식 가져",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=392794
대구,"대구 달서구, 성서산단 'AI기반 공정혁신 시뮬레이션센터' 구축",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=392792
대구,"대구 달성군, 스마트팩토리 기계설비유지관리자 전문 인력 양성사업 개강",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392791
대구,"'무더위 사냥'···대구 달성군, 클린로드·스마트 그늘막 신규 설치",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392790
대구,"대구 동구, 골목상권 상인회 간담회 가져",일간경북신문 - 전수정기자,4호,http://www.kbsm.net/news/view.php?idx=392788
대구,"aT, ‘비전 2028 추진단’ 발족…중장기 경영전략 수립",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392786
대구,"대구은행장학문화재단, 대학(원)생 장학금 1억9천만원 전달",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392785
대구,"계명대 전자공학전공 남민우 교수, 차세대 광전자소자 상업화 핵심 기술 개발",일간경북신문 - 박정수기자,4호,http://www.kbsm.net/news/view.php?idx=392784
대구,"대경중기청, 영주 풍기인삼 소공인복합지원센터 개소···대구경북 최초",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392782
대구,[동정] 최재훈 대구달성군수,일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392776
대구,대구 '코로나19' 확진자 886명...사망 1명,일간경북신문 - 전수정기자,2023/05/24,http://www.kbsm.net/news/view.php?idx=392750
대구,"경북대, 우수강의상 10명 선정",일간경북신문 - 박정수기자,4호,http://www.kbsm.net/news/view.php?idx=392734
대구,"영진전문대 인테리어디자인과, 기업 '인재 선점' 붐",일간경북신문 - 박정수기자,4호,http://www.kbsm.net/news/view.php?idx=392730
대구,"대구교육청, 일학습병행 채용 박람회",일간경북신문 - 박정수기자,4호,http://www.kbsm.net/news/view.php?idx=392726
대구,"LH 대구경북본부·대구경찰청, 임대단지 범죄예방 환경설비 도입 업무협약",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392697
대구,"한국건강관리협회, 희귀·난치성질환 환우·가족 지원사업 후원",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392696
대구,"DGB대구은행, ‘KSQI 한국의 우수콜센터’ 선정",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392695
대구,"DGB대구은행, 안전보건경영시스템(ISO 45001) 인증 획득",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392694
